Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,HEX,HEX,HEX,HEX
252,252,0,0,00ac0070,172,ff65ffa3,1,0,1
253,253,0,0,0022008e,34,ffedff84,1,0,1
254,254,0,0,ff70ffaf,-144,00a30063,1,0,1
255,255,0,0,fff8ff92,-8,00170080,1,0,1
256,256,0,0,00ac006e,172,ff66ffa3,1,0,1
257,257,0,0,0025008d,37,ffeeff83,1,0,1
258,258,0,0,ff6fffb0,-145,00a10063,1,0,1
259,259,0,0,fff9ff8f,-7,001a0082,1,0,1
260,260,0,0,00ac0070,172,ff66ffa4,1,0,1
261,261,0,0,0023008f,35,ffeeff85,1,0,1
262,262,0,0,ff70ffad,-144,00a40065,1,0,1
263,263,0,0,fff7ff8f,-9,001b0083,1,0,1
264,264,0,0,00ab006f,171,ff67ffa2,1,0,1
265,265,0,0,0024008d,36,ffedff86,1,0,1
266,266,0,0,ff70ffaf,-144,00a20065,1,0,1
267,267,0,0,fff8ff8e,-8,001a0084,1,0,1
268,268,0,0,00af0071,175,ff62ffa2,1,0,1
269,269,0,0,0028008f,40,ffecff87,1,0,1
270,270,0,0,ff6effb1,-146,00a10063,1,0,1
271,271,0,0,fff7ff8e,-9,00170081,1,0,1
272,272,0,0,00ac006c,172,ff65ffa3,1,0,1
273,273,0,0,0025008d,37,ffecff82,1,0,1
274,274,0,0,ff6effaf,-146,00a10063,1,0,1
275,275,0,0,fffbff8e,-5,001a0085,1,0,1
276,276,0,0,00aa006f,170,ff65ffa2,1,0,1
277,277,0,0,0024008e,36,ffeeff83,1,0,1
278,278,0,0,ff71ffad,-143,00a30064,1,0,1
279,279,0,0,fffcff90,-4,00180084,1,0,1
280,280,0,0,00ac0071,172,ff64ffa3,1,0,1
281,281,0,0,0021008e,33,ffeeff84,1,0,1
282,282,0,0,ff70ffaf,-144,009e0061,1,0,1
283,283,0,0,fff9ff8d,-7,00180081,1,0,1
284,284,0,0,00ac006e,172,ff68ffa2,1,0,1
285,285,0,0,0023008f,35,ffecff83,1,0,1
286,286,0,0,ff72ffaf,-142,00a30061,1,0,1
287,287,0,0,fff9ff8b,-7,00180084,1,0,1
288,288,0,0,00ac006d,172,ff66ffa3,1,0,1
289,289,0,0,0022008e,34,fff0ff84,1,0,1
290,290,0,0,ff6dffb0,-147,00a20063,1,0,1
291,291,0,0,fffaff8e,-6,001a0084,1,0,1
292,292,0,0,00ae0070,174,ff66ffa3,1,0,1
293,293,0,0,0025008c,37,ffedff85,1,0,1
294,294,0,0,ff70ffaf,-144,00a4005f,1,0,1
295,295,0,0,fffaff8e,-6,001b0084,1,0,1
296,296,0,0,00ab006e,171,ff68ffa3,1,0,1
297,297,0,0,0026008e,38,ffebff85,1,0,1
298,298,0,0,ff6effac,-146,00a00061,1,0,1
299,299,0,0,fff8ff8c,-8,001a0081,1,0,1
300,300,0,0,00b0006e,176,ff67ffa2,1,0,1
301,301,0,0,0023008c,35,ffedff85,1,0,1
302,302,0,0,ff71ffb0,-143,00a10063,1,0,1
303,303,0,0,fff7ff8c,-9,001b0082,1,0,1
304,304,0,0,00ac0072,172,ff63ffa1,1,0,1
305,305,0,0,0026008d,38,ffedff83,1,0,1
306,306,0,0,ff71ffb2,-143,00a30064,1,0,1
307,307,0,0,fffaff8e,-6,001a0085,1,0,1
308,308,0,0,00ad006e,173,ff67ffa6,1,0,1
309,309,0,0,0025008c,37,ffebff84,1,0,1
